Ime: dsa, Stanje :900 ,Ulog: 0, Max Dobitak: 0, broj vrtnji:0
Ime: dsa, Stanje :890 ,Ulog: 10, Max Dobitak: 0, broj vrtnji:1
Ime: dsa, Stanje :880 ,Ulog: 10, Max Dobitak: 0, broj vrtnji:2
Ime: dsa, Stanje :890 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:3
Ime: dsa, Stanje :885 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:4
Ime: dsa, Stanje :875 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:5
Ime: dsa, Stanje :865 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:6
Ime: dsa, Stanje :855 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:7
Ime: dsa, Stanje :845 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:8
Ime: dsa, Stanje :840 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:9
Ime: dsa, Stanje :830 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:10
Ime: dsa, Stanje :860 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:11
Ime: dsa, Stanje :850 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:12
Ime: dsa, Stanje :860 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:13
Ime: dsa, Stanje :850 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:14
Ime: dsa, Stanje :850 ,Ulog: 10, Max Dobitak: 20, broj vrtnji:15
